MinMAP,MaxMAP,MinTemp,MaxTemp,MinDI,MaxDI,DF
0,19,0,49,640,699,0
0,19,0,49,700,759,0
0,19,0,49,760,799,0
0,19,0,49,800,9999,0
20,29,107,9999,0,49,30
20,29,107,9999,50,99,28
20,29,107,9999,100,149,26
20,29,107,9999,150,199,24
20,29,107,9999,200,249,22
20,29,107,9999,250,299,20
20,29,107,9999,300,349,18
20,29,107,9999,350,399,16
20,29,107,9999,400,449,14
20,29,107,9999,450,499,12
20,29,107,9999,500,549,11
20,29,107,9999,550,639,8
20,29,107,9999,640,699,5
20,29,107,9999,700,759,3
20,29,107,9999,760,799,1
20,29,107,9999,800,9999,0
20,29,104,106,0,49,25
20,29,104,106,50,99,24
20,29,104,106,100,149,22
20,29,104,106,150,199,20
20,29,104,106,200,249,19
20,29,104,106,250,299,17
20,29,104,106,300,349,16
20,29,104,106,350,399,14
20,29,104,106,400,449,12
20,29,104,106,450,499,11
20,29,104,106,500,549,9
20,29,104,106,550,639,7
20,29,104,106,640,699,4
20,29,104,106,700,759,2
20,29,104,106,760,799,1
20,29,104,106,800,9999,0
20,29,101,103,0,49,22
20,29,101,103,50,99,20
20,29,101,103,100,149,19
20,29,101,103,150,199,18
20,29,101,103,200,249,16
20,29,101,103,250,299,15
20,29,101,103,300,349,13
20,29,101,103,350,399,12
20,29,101,103,400,449,11
20,29,101,103,450,499,9
20,29,101,103,500,549,8
20,29,101,103,550,639,6
20,29,101,103,640,699,3
20,29,101,103,700,759,2
20,29,101,103,760,799,1
20,29,101,103,800,9999,0
20,29,98,100,0,49,19
20,29,98,100,50,99,17
20,29,98,100,100,149,16
20,29,98,100,150,199,15
20,29,98,100,200,249,14
20,29,98,100,250,299,13
20,29,98,100,300,349,11
20,29,98,100,350,399,10
20,29,98,100,400,449,9
20,29,98,100,450,499,8
20,29,98,100,500,549,7
20,29,98,100,550,639,4
20,29,98,100,640,699,3
20,29,98,100,700,759,2
20,29,98,100,760,799,1
20,29,98,100,800,9999,0
20,29,95,97,0,49,16
20,29,95,97,50,99,15
20,29,95,97,100,149,14
20,29,95,97,150,199,13
20,29,95,97,200,249,12
20,29,95,97,250,299,11
20,29,95,97,300,349,10
20,29,95,97,350,399,9
20,29,95,97,400,449,8
20,29,95,97,450,499,7
20,29,95,97,500,549,6
20,29,95,97,550,639,4
20,29,95,97,640,699,3
20,29,95,97,700,759,1
20,29,95,97,760,799,1
20,29,95,97,800,9999,0
20,29,92,94,0,49,14
20,29,92,94,50,99,13
20,29,92,94,100,149,12
20,29,92,94,150,199,11
20,29,92,94,200,249,10
20,29,92,94,250,299,9
20,29,92,94,300,349,8
20,29,92,94,350,399,7
20,29,92,94,400,449,7
20,29,92,94,450,499,6
20,29,92,94,500,549,5
20,29,92,94,550,639,4
20,29,92,94,640,699,2
20,29,92,94,700,759,1
20,29,92,94,760,799,1
20,29,92,94,800,9999,0
20,29,89,91,0,49,12
20,29,89,91,50,99,11
20,29,89,91,100,149,10
20,29,89,91,150,199,9
20,29,89,91,200,249,9
20,29,89,91,250,299,8
20,29,89,91,300,349,7
20,29,89,91,350,399,6
20,29,89,91,400,449,6
20,29,89,91,450,499,5
20,29,89,91,500,549,4
20,29,89,91,550,639,3
20,29,89,91,640,699,2
20,29,89,91,700,759,1
20,29,89,91,760,799,1
20,29,89,91,800,9999,0
20,29,86,88,0,49,10
20,29,86,88,50,99,9
20,29,86,88,100,149,9
20,29,86,88,150,199,8
20,29,86,88,200,249,7
20,29,86,88,250,299,7
20,29,86,88,300,349,6
20,29,86,88,350,399,5
20,29,86,88,400,449,5
20,29,86,88,450,499,4
20,29,86,88,500,549,4
20,29,86,88,550,639,3
20,29,86,88,640,699,2
20,29,86,88,700,759,1
20,29,86,88,760,799,1
20,29,86,88,800,9999,0
20,29,83,85,0,49,8
20,29,83,85,50,99,8
20,29,83,85,100,149,7
20,29,83,85,150,199,7
20,29,83,85,200,249,6
20,29,83,85,250,299,6
20,29,83,85,300,349,5
20,29,83,85,350,399,5
20,29,83,85,400,449,4
20,29,83,85,450,499,4
20,29,83,85,500,549,3
20,29,83,85,550,639,2
20,29,83,85,640,699,1
20,29,83,85,700,759,1
20,29,83,85,760,799,0
20,29,83,85,800,9999,0
20,29,80,82,0,49,7
20,29,80,82,50,99,7
20,29,80,82,100,149,6
20,29,80,82,150,199,6
20,29,80,82,200,249,5
20,29,80,82,250,299,5
20,29,80,82,300,349,4
20,29,80,82,350,399,4
20,29,80,82,400,449,3
20,29,80,82,450,499,3
20,29,80,82,500,549,3
20,29,80,82,550,639,2
20,29,80,82,640,699,1
20,29,80,82,700,759,1
20,29,80,82,760,799,0
20,29,80,82,800,9999,0
20,29,77,79,0,49,6
20,29,77,79,50,99,5
20,29,77,79,100,149,5
20,29,77,79,150,199,5
20,29,77,79,200,249,4
20,29,77,79,250,299,4
20,29,77,79,300,349,4
20,29,77,79,350,399,3
20,29,77,79,400,449,3
20,29,77,79,450,499,2
20,29,77,79,500,549,2
20,29,77,79,550,639,2
20,29,77,79,640,699,1
20,29,77,79,700,759,1
20,29,77,79,760,799,0
20,29,77,79,800,9999,0
20,29,74,76,0,49,5
20,29,74,76,50,99,5
20,29,74,76,100,149,4
20,29,74,76,150,199,4
20,29,74,76,200,249,4
20,29,74,76,250,299,3
20,29,74,76,300,349,3
20,29,74,76,350,399,3
20,29,74,76,400,449,2
20,29,74,76,450,499,2
20,29,74,76,500,549,2
20,29,74,76,550,639,1
20,29,74,76,640,699,1
20,29,74,76,700,759,1
20,29,74,76,760,799,0
20,29,74,76,800,9999,0
20,29,71,73,0,49,4
20,29,71,73,50,99,4
20,29,71,73,100,149,4
20,29,71,73,150,199,3
20,29,71,73,200,249,3
20,29,71,73,250,299,3
20,29,71,73,300,349,2
20,29,71,73,350,399,2
20,29,71,73,400,449,2
20,29,71,73,450,499,2
20,29,71,73,500,549,1
20,29,71,73,550,639,1
20,29,71,73,640,699,1
20,29,71,73,700,759,1
20,29,71,73,760,799,0
20,29,71,73,800,9999,0
20,29,68,70,0,49,3
20,29,68,70,50,99,3
20,29,68,70,100,149,3
20,29,68,70,150,199,3
20,29,68,70,200,249,2
20,29,68,70,250,299,2
20,29,68,70,300,349,2
20,29,68,70,350,399,2
20,29,68,70,400,449,2
20,29,68,70,450,499,1
20,29,68,70,500,549,1
20,29,68,70,550,639,1
20,29,68,70,640,699,1
20,29,68,70,700,759,1
20,29,68,70,760,799,0
20,29,68,70,800,9999,0
20,29,65,67,0,49,3
20,29,65,67,50,99,3
20,29,65,67,100,149,2
20,29,65,67,150,199,2
20,29,65,67,200,249,2
20,29,65,67,250,299,2
20,29,65,67,300,349,2
20,29,65,67,350,399,1
20,29,65,67,400,449,1
20,29,65,67,450,499,1
20,29,65,67,500,549,1
20,29,65,67,550,639,1
20,29,65,67,640,699,1
20,29,65,67,700,759,0
20,29,65,67,760,799,0
20,29,65,67,800,9999,0
20,29,62,64,0,49,2
20,29,62,64,50,99,2
20,29,62,64,100,149,2
20,29,62,64,150,199,2
20,29,62,64,200,249,2
20,29,62,64,250,299,1
20,29,62,64,300,349,1
20,29,62,64,350,399,1
20,29,62,64,400,449,1
20,29,62,64,450,499,1
20,29,62,64,500,549,1
20,29,62,64,550,639,1
20,29,62,64,640,699,1
20,29,62,64,700,759,0
20,29,62,64,760,799,0
20,29,62,64,800,9999,0
20,29,59,61,0,49,2
20,29,59,61,50,99,2
20,29,59,61,100,149,1
20,29,59,61,150,199,1
20,29,59,61,200,249,1
20,29,59,61,250,299,1
20,29,59,61,300,349,1
20,29,59,61,350,399,1
20,29,59,61,400,449,1
20,29,59,61,450,499,1
20,29,59,61,500,549,1
20,29,59,61,550,639,1
20,29,59,61,640,699,0
20,29,59,61,700,759,0
20,29,59,61,760,799,0
20,29,59,61,800,9999,0
20,29,56,58,0,49,1
20,29,56,58,50,99,1
20,29,56,58,100,149,1
20,29,56,58,150,199,1
20,29,56,58,200,249,1
20,29,56,58,250,299,1
20,29,56,58,300,349,1
20,29,56,58,350,399,1
20,29,56,58,400,449,1
20,29,56,58,450,499,1
20,29,56,58,500,549,1
20,29,56,58,550,639,1
20,29,56,58,640,699,0
20,29,56,58,700,759,0
20,29,56,58,760,799,0
20,29,56,58,800,9999,0
20,29,53,55,0,49,1
20,29,53,55,50,99,1
20,29,53,55,100,149,1
20,29,53,55,150,199,1
20,29,53,55,200,249,1
20,29,53,55,250,299,1
20,29,53,55,300,349,1
20,29,53,55,350,399,1
20,29,53,55,400,449,1
20,29,53,55,450,499,1
20,29,53,55,500,549,1
20,29,53,55,550,639,0
20,29,53,55,640,699,0
20,29,53,55,700,759,0
20,29,53,55,760,799,0
20,29,53,55,800,9999,0
20,29,50,52,0,49,1
20,29,50,52,50,99,1
20,29,50,52,100,149,1
20,29,50,52,150,199,1
20,29,50,52,200,249,1
20,29,50,52,250,299,1
20,29,50,52,300,349,1
20,29,50,52,350,399,1
20,29,50,52,400,449,1
20,29,50,52,450,499,0
20,29,50,52,500,549,0
20,29,50,52,550,639,0
20,29,50,52,640,699,0
20,29,50,52,700,759,0
20,29,50,52,760,799,0
20,29,50,52,800,9999,0
20,29,0,49,0,49,0
20,29,0,49,50,99,0
20,29,0,49,100,149,0
20,29,0,49,150,199,0
20,29,0,49,200,249,0
20,29,0,49,250,299,0
20,29,0,49,300,349,0
20,29,0,49,350,399,0
20,29,0,49,400,449,0
20,29,0,49,450,499,0
20,29,0,49,500,549,0
20,29,0,49,550,639,0
20,29,0,49,640,699,0
20,29,0,49,700,759,0
20,29,0,49,760,799,0
20,29,0,49,800,9999,0
30,39,107,9999,0,49,41
30,39,107,9999,50,99,38
30,39,107,9999,100,149,36
30,39,107,9999,150,199,33
30,39,107,9999,200,249,30
30,39,107,9999,250,299,28
30,39,107,9999,300,349,25
30,39,107,9999,350,399,23
30,39,107,9999,400,449,20
30,39,107,9999,450,499,17
30,39,107,9999,500,549,15
